id,name,synonyms
7320,Sports Center,['Sports Centre']
7374,Stadium,"['Arena', 'Sports Stadium']"
7315,Restaurant,"['Eating House', 'Eating Place', 'Dining', 'Eatery']"
9376,Café/Pub,[]
9663,Health Care Service,[]
7321,Hospital,"['Clinic', 'Polyclinic', 'Hospital/Polyclinic']"
9373,Doctor,"[""Doctor's Office"", 'Doc', 'Medical Office', 'MD', 'Medical Practitioner']"
9361,Shop,['Store']
9364,Marijuana Dispensary,[]
7332,Market,[]
9932,Public Amenity,[]
7301,Road Traffic Control Center,"['Traffic Service Centre', 'Traffic Service Center']"
7324,Post Office,"['Post', 'Postal Service']"
7377,College/University,"['Tertiary Education', 'University', 'College', 'Uni']"
7369,Open Parking Area,"['Parking Lot', 'Open Parking', 'Outdoor Lot', 'Outdoor Parking']"
9937,Club & Association,[]
7360,Campground,"['Campsite', 'Camping Area', 'Camp Site', 'Camping', 'Camping Ground', 'Camp Ground', 'Camping Site']"
7304,Vacation Rental,['Holiday Rental']
9902,Amusement Park,[]
7303,Residential Accommodations,['Residential Accommodation']
7335,Agricultural Business,['Agriculture Business']
7383,Airport,['Aerodrome']
9352,Company,"['Organisation', 'Organization', 'Enterprise', 'Employment', 'Firm', 'Institution', 'Corporation', 'Establishment']"
9379,Nightlife,[]
7310,Repair Shop,"['Garage', 'Repair Facility', 'Workshop', 'Service Centre', 'Mechanic Shop', 'Vehicle Repair', 'Car Repair', 'Mechanic', 'Service Department', 'Car Servicing', 'Car Mechanic', 'Servicing', 'MOT', 'Car Workshop']"
7314,Hotel/Motel,[]
7372,School,['Educational Institution']
9910,Automotive Dealer,"['Dealer', 'Dealership', 'Vehicle Sales', 'Auto Dealer']"
9927,"Zoo, Arboretum & Botanical Garden",[]
7342,Movie Theater,"['Picture House', 'Movie Theatre', 'The Pictures', 'Big Screen', 'Film House', 'Movie Hall', 'Cinema', 'Movie House', 'Picture Theatre', 'The Movies', 'Cinema Hall', 'Movies', 'Silver Screen', 'Picture Theater']"
7318,Theater,"['Play House', 'Playhouse', 'Theatre']"
9362,Park & Recreation Area,['Park and Recreation Area']
7339,Place of Worship,"['House of Worship', 'House of Prayer', 'House of God', 'Prayer Hall']"
7376,Tourist Attraction,"['Place of Interest', 'Local Attraction', 'Sight Seeing Place', 'Important Tourist Attraction', 'Tourist Place']"
7302,Trails,"['Trail System', 'Trail Network']"
7380,Railroad Station,"['Railway Station', 'Train Station', 'Train Stop', 'Station', 'Rail Station']"
9942,Public Transportation Stop,"['Public Transport Stop', 'Public Transit', 'Public Transport Terminus', 'Public Transport', 'Public Transit Stop', 'Public Transport Station']"
9160,Exchange,[]
7347,Marina,['Boat Basin']
7359,Weigh Station,['Weigh Scales']
9155,Car Wash,"['Carwash', 'Auto Wash']"
9378,Leisure Center,"['Leisure Facilities', 'Leisure Centre']"
7389,Access Gateway,[]
8099,Geographic Feature,[]
7380004,Urban Station,[]
7302003,Adventure Vehicle Trail,['Off Road Track']
9352003,Advertising Company,"['Marketing', 'Ad Agency', 'Advert Agency', 'Marketing Company', 'Advertising Agency']"
7315081,Afghan Restaurant,"['Afghan Cuisine', 'Afghan Food']"
7315002,African Restaurant,"['African Food', 'African Cuisine']"
9361073,Agricultural Supplies,"['Farm Supplies', 'Farming Supplies']"
9352012,Agricultural Technology,['Farming Technology']
7383005,Airfield,['Aerodrome']
9352034,Airline Company,['Airline']
7389002,Airline Access,"['Terminal', 'Airport Terminal']"
7315082,Algerian Restaurant,"['Algerian Cuisine', 'Algerian Food']"
9663005,Ambulance Unit,[]
7315003,American Restaurant,"['American Cuisine', 'American Food']"
7318007,Amphitheater,['Amphitheatre']
9902002,Amusement Arcade,"['Video Games', 'Video Arcade', 'Video Games Parlour']"
9902003,Amusement Park,[]
9902004,Amusement Place,[]
9361048,Animal Services,[]
9352045,Animal Shelter,"['Animal Rescue', 'Animal Sanctuary']"
9361049,Antique/Art Shop,[]
7304006,Apartment Rental,[]
9927004,Aquatic Zoo,['Aquarium']
7315083,Arabian Restaurant,"['Arabian Food', 'Arab Food', 'Arabian Cuisine', 'Arab Restaurant', 'Arab Cuisine']"
9927002,Arboreta & Botanical Gardens,[]
7376012,Arch,[]
7315084,Argentinian Restaurant,"['Argentine Restaurant', 'Argentine Cuisine', 'Argentinian Cuisine', 'Argentine Food', 'Argentinian Food']"
7315085,Armenian Restaurant,"['Armenian Food', 'Armenian Cuisine']"
7372012,Art School,[]
7339007,Ashram,[]
7315062,Asian Restaurant,"['Asian Cuisine', 'Asian Food']"
7374002,Athletics Track,"['Running Track', 'Athletic Stadium', 'Athletics Ground']"
9910009,ATV Dealer,"['All-Terrain Vehicle Sales', 'All-Terrain Vehicle Dealer', 'ATV Sales']"
7315086,Australian Restaurant,"['Australian Cuisine', 'Australian Food']"
7315004,Austrian Restaurant,"['Austrian Cuisine', 'Austrian Food']"
9352013,Automobile Company,"['Motor Car Company', 'Car Distribution Center', 'Automobile Factory', 'Car Distribution Centre', 'Car Company']"
9352041,Automobile Manufacturing,"['Car Manufacturer', 'Automotive Manufacturer', 'Motor Car Manufacturer', 'Automobile Factory', 'Car Factory', 'Automobile Manufacturer']"
9361058,Bags & Leatherwear,[]
7315146,Banquet Rooms,"['Banqueting Room', 'Function Hall', 'Banquet Restaurant', 'Function Room', 'Banquet Hall']"
9379004,Bar,[]
7315005,Barbecue Restaurant,"['Barbecue Food', 'BBQ', 'BBQ Restaurant', 'Barbecue Cuisine', 'Barbecue']"
7374009,Baseball Park,"['Ballpark', 'Baseball Field', 'Baseball Stadium', 'Baseball', 'Ball Park']"
7374012,Basketball Arena,"['Basketball Stadium', 'Basketball Court']"
7315087,Basque Restaurant,"['Basque Cuisine', 'Basque Food']"
9362002,Battlefield,['Battleground']
8099016,Bay,[]
9937002,Beach Club,[]
9361067,Beauty Salon,"['Beauty Centre', 'Beauty Center', 'Beauty Parlour', 'Beauty Shop', 'Beautician']"
9361050,Beauty Supplies,"['Beauty Shop', 'Beauty Store']"
7314002,B&B/Guest House,"['B&B', 'B & B', 'B and B', 'Guesthouse', 'Guest House', 'Bed and Breakfast', 'Bed & Breakfast']"
7315006,Belgian Restaurant,"['Belgian Food', 'Belgian Cuisine']"
9361072,Betting Station,"['Bookmaker', 'Bookie']"
7315007,Bistro,[]
9663004,Blood Bank,[]
9910004,Boat Dealer,['Boat Sales']
9362032,Boat Launching Ramp,[]
9361083,Boating Equipment & Accessories,"['Boating Equipment', 'Boating Accessories']"
7310002,Bodyshop,"['Panel Beater', 'Body Shop', 'Car Body Shop', 'Car Bodyshop', 'Panelbeaters']"
7315088,Bolivian Restaurant,"['Bolivian Cuisine', 'Bolivian Food']"
9361002,Book Shop,"['Book Seller', 'Book Store']"
7315089,Bosnian Restaurant,"['Bosnian Cuisine', 'Bosnian Food']"
9378002,Bowling Center,"['Bowling Centre', 'Bowling Alley']"
7315072,Brazilian Restaurant,"['Brazilian Cuisine', 'Brazilian Food']"
7376010,Bridge,[]
9352035,Bridge & Tunnel Operations,[]
7315008,British Restaurant,"['British Food', 'British Cuisine']"
7315142,Buffet Restaurant,['Buffet']
7376002,Building,[]
7315090,Bulgarian Restaurant,"['Bulgarian Food', 'Bulgarian Cuisine']"
7304004,Bungalow Rental,"['Crib Rental', 'Batch Rental']"
7315091,Burmese Restaurant,"['Burmese Food', 'Burmese Cuisine']"
9910008,Bus Dealer,"['Coach Dealer', 'Bus Sales']"
9352025,Bus Charter Company,"['Bus Hire Company', 'Bus Rental Company', 'Bus Charter', 'Bus Hire', 'Bus Rental']"
9352027,Bus Lines,"['Local Bus Services', 'Bus Route', 'Bus Services', 'Local Buses']"
9942002,Bus Stop,[]
9352039,Business Services,[]
7318006,Cabaret Theater,"['Cabaret', 'Cabaret Theatre']"
7314007,Cabins & Lodges,"['Lodge', 'Lodges', 'Cabins', 'Cabin', 'Hut']"
9352040,Cable & Telephone Company,"['Telecommunications Company', 'Telecoms Company', 'Cable Company', 'Telephone Company']"
9376002,Café,['Cafe']
7315147,Cafeteria,['Cafetaria']
7315009,Californian Restaurant,"['Californian Cuisine', 'Californian Food']"
7315092,Cambodian Restaurant,"['Cambodian Cuisine', 'Cambodian Food']"
