id,name,synonyms
9376,Café/Pub,[]
9932,Public Amenity,[]
9942,Public Transportation Stop,"['Public Transport Stop', 'Public Transit', 'Public Transport Terminus', 'Public Transport', 'Public Transit Stop', 'Public Transport Station']"
9379004,Bar,[]
7315005,Barbecue Restaurant,"['Barbecue Food', 'BBQ', 'BBQ Restaurant', 'Barbecue Cuisine', 'Barbecue']"
7314002,B&B/Guest House,"['B&B', 'B & B', 'B and B', 'Guesthouse', 'Guest House', 'Bed and Breakfast', 'Bed & Breakfast']"
7315007,Bistro,[]
7318006,Cabaret Theater,"['Cabaret', 'Cabaret Theatre']"
9376002,Café,['Cafe']
7315147,Cafeteria,['Cafetaria']
9379006,Cocktail Bar,"['Cocktail', 'Cocktails']"
9376006,Coffee Shop,"['Coffee House', 'Coffeehouse', 'Coffeeshop']"
9379009,Comedy Club,['Comedy Bar']
7315079,Doughnut Restaurant,"['Doughnuts', 'Donuts', 'Donut Restaurant', 'Doughnut Shop']"
9361018,Bakery,"[""Baker's"", 'Baker', 'Bakers']"
9376004,Internet Café,[]
9379008,Jazz Club,['Jazz Bar']
9379010,Karaoke Club,"['Karaoke Bar', 'Karaoke']"
9361068,Nail Salon,"['Manicure', 'Nail Bar', 'Pedicure', 'Nails']"
8099008,Plateau,[]
9376003,Pub,['Public House']
7315039,Pub Food,"['Bar Snacks', 'Bar Food']"
7332003,Public Market,[]
7383002,Public Airport,[]
9932004,Public Call Box,"['Public Phone', 'PCO', 'Phone Booth', 'Phone Box', 'Public Telephone Box', 'Payphone', 'Telephone Box', 'Call Box']"
9352017,Public Health Technology Company,['Public Health Tech Company']
9352019,Publishing Technologies,['Publishing House']
7315143,Salad Bar,['Salad']
7315042,Sandwich Restaurant,"['Submarine Sandwich', 'Sub Shop', 'Subs', 'Sandwich Shop', 'Sandwiches', 'Sandwich', 'Sandwich Corner', 'Sandwich Bar']"
7315139,Snacks Restaurant,"['Snack Bar', 'Snacks Centre']"
7315045,Steak House,"['Steakhouse', 'Steak Restaurant']"
7315148,Sushi Restaurant,"['Sushi House', 'Sushi Bar']"
7315076,Tapas Restaurant,"['Tapas', 'Tapas Bar']"
9376005,Tea House,"['Tea Stall', 'Tea Room']"
9932005,Public Toilet,"['Public Lavatories', 'Public W.C.', 'Public Toilets', 'Public Bathroom', 'Public Rest Room']"
9379007,Wine Bar,[]
7315149,Yogurt/Juice Bar,[]
7338,Swimming Pool,"['Pool', 'Swimming Baths', 'Baths', 'Public Pool']"
9913,Library,['Public Library']
9388,Military Installation,"['Cantonment Area', 'Barracks', 'Military Base']"
7358,Truck Stop,"['Truck Service', 'Transport Café', 'Coach & Lorry Parking', 'Dhaba', 'Coach and Lorry Parking', 'Coach & Truck Parking', 'Bus & Truck Park']"
7375,Toll Gate,"['Toll Booth', 'Toll Bar', 'Toll Plaza', 'Toll Station', 'Toll Collection Gate']"
